frame,1_x,1_y,1_z,2_x,2_y,2_z,3_x,3_y,3_z,4_x,4_y,4_z,5_x,5_y,5_z,6_x,6_y,6_z,7_x,7_y,7_z,8_x,8_y,8_z,9_x,9_y,9_z,10_x,10_y,10_z,11_x,11_y,11_z
51,-0.0,-0.0,-0.0,-0.4559343,0.6915918,1.1240308,0.42219397,0.51211804,1.2100774,-0.2719609,-0.05290226,0.019937383,-0.43392828,0.21315578,-0.84407914,-0.60426044,-0.07306713,-1.6899248,-0.67262113,0.097777896,-1.8271307,0.2719609,0.05290226,-0.019937383,0.22043948,-0.6717739,-0.71219164,0.23084566,-1.7313906,-1.2912925,0.23337223,-1.5827996,-1.5085438
52,-0.0,-0.0,-0.0,-0.4671816,0.86832935,1.0462093,0.4152841,0.6967124,1.1232203,-0.27191803,-0.043900073,0.014469395,-0.48302105,0.3749398,-0.826628,-0.61601645,0.21642594,-1.5985123,-0.5707845,0.35628468,-1.694337,0.27191803,0.043900073,-0.014469395,0.19381186,-0.7738563,-0.68123573,0.32624987,-2.0540466,-1.110735,0.4161113,-1.9825803,-1.2693318
53,-0.0,-0.0,-0.0,-0.46711975,0.9184517,0.9844032,0.3907712,0.7678883,1.0839592,-0.2690845,-0.04416536,0.0050889086,-0.45671517,0.45370743,-0.83308655,-0.6110863,0.37497863,-1.6838381,-0.56978714,0.47540537,-1.7780358,0.2690845,0.04416536,-0.005088908,0.17872274,-0.7593939,-0.65722686,0.37506828,-2.0095232,-1.0585679,0.4592734,-1.9411438,-1.183992
54,-0.0,-0.0,-0.0,-0.46740973,0.94244325,0.943716,0.3876578,0.8073895,1.0185822,-0.26900983,-0.037637785,-0.0032135355,-0.44156167,0.37956458,-0.88465464,-0.56598884,0.04372674,-1.730078,-0.504345,0.20901605,-1.8826171,0.26900983,0.037637785,0.0032135353,0.2481326,-0.77093315,-0.63191295,0.432869,-1.9015788,-0.98404956,0.54091215,-1.8438216,-1.135005
55,-0.0,-0.0,-0.0,-0.47792208,0.92798096,0.9539744,0.38739908,0.80148923,0.9992316,-0.26776308,-0.037636757,-0.009037232,-0.39703658,0.3245842,-0.9743961,-0.53162324,-0.07261436,-1.8363109,-0.5218313,0.056806374,-2.0419886,0.26776308,0.037636757,0.009037232,0.29498023,-0.7122094,-0.6217877,0.5592519,-1.7967569,-0.95453537,0.62718254,-1.7787645,-1.1536314
56,-0.0,-0.0,-0.0,-0.47535786,0.9088052,0.9744255,0.38942295,0.7873846,1.0099617,-0.26231313,-0.04451995,-0.009832859,-0.37287155,0.13757025,-1.0292257,-0.4700716,-0.43746802,-1.8131433,-0.4874418,-0.48765865,-2.0893984,0.26231313,0.04451995,0.009832858,0.28515545,-0.17386825,-0.62075317,0.65173185,-1.3647313,-0.76546395,0.72039545,-1.7429801,-0.9162193
57,-0.0,-0.0,-0.0,-0.4854869,0.89589137,0.9764249,0.390138,0.783429,1.0204709,-0.26196143,-0.04649181,-0.010257551,-0.33177245,0.12345366,-0.98842955,-0.36244297,-0.56038487,-1.7234554,-0.45908043,-0.6420865,-1.9821485,0.26196143,0.04649181,0.010257551,0.28294402,-0.24988055,-0.6406187,0.5842982,-1.4848368,-0.7310429,0.67381895,-1.7374765,-0.8864366
58,-0.0,-0.0,-0.0,-0.48246565,0.8747016,0.97821295,0.401437,0.77469885,1.0274695,-0.26207477,-0.04972679,-0.009996925,-0.239286,0.14962472,-0.9715419,-0.28376564,-0.53590626,-1.7061404,-0.3256108,-0.59396666,-1.9044908,0.26207477,0.04972679,0.009996925,0.2948413,-0.22935782,-0.7643916,0.515312,-1.4887391,-0.858042,0.5765542,-1.6658102,-1.0035591
59,-0.0,-0.0,-0.0,-0.4818913,0.82320553,1.0231446,0.4022619,0.7222484,1.0702221,-0.26206124,-0.061201222,-0.009796654,-0.20967406,-0.017447451,-0.9509174,-0.23384067,-0.82007897,-1.7021364,-0.24473605,-0.86978674,-1.8706756,0.26206124,0.061201222,0.009796654,0.26350844,-0.2669818,-0.7604048,0.4856154,-1.4567151,-1.0840081,0.5354038,-1.5819266,-1.2493906
60,-0.0,-0.0,-0.0,-0.46297362,0.78082395,1.0328985,0.40170962,0.73980063,1.0912628,-0.26089507,-0.09417447,-0.0012411249,-0.19128215,-0.4959035,-0.9364978,-0.16239628,-1.3591145,-1.6944913,-0.18474415,-1.3919553,-1.8539667,0.26089507,0.09417447,0.0012411253,0.10077857,-0.28597677,-0.751107,0.1899178,-1.2487421,-1.4390906,0.21661492,-1.1267389,-1.6171595
